Year,Make,Model,Fuel-type
2019,ARCIMOTO,EVERGREEN,ELECTRIC
2012,AUDI,A1,PETROL HYBRID
2015,AUDI,A3,PETROL HYBRID
2015,AUDI,A3,PLUGIN PETROL HYBRID
2016,AUDI,A3,PETROL ELECTRIC HYBRID
2016,AUDI,A3,PLUGIN PETROL HYBRID
2017,AUDI,A3,PETROL HYBRID
2017,AUDI,A3,PLUGIN PETROL HYBRID
2018,AUDI,A3,PLUGIN PETROL HYBRID
2019,AUDI,A3,PLUGIN PETROL HYBRID
2020,AUDI,A3,PLUGIN PETROL HYBRID
2012,AUDI,A6,PETROL HYBRID
2013,AUDI,A6,PETROL HYBRID
2014,AUDI,A6,PETROL HYBRID
2020,AUDI,A6,DIESEL HYBRID
2018,AUDI,A7,DIESEL ELECTRIC HYBRID
2022,AUDI,A7,PETROL HYBRID
2013,AUDI,A8,PETROL HYBRID
2019,AUDI,E-TRON,ELECTRIC
2020,AUDI,E-TRON,ELECTRIC
2021,AUDI,E-TRON,ELECTRIC
2022,AUDI,E-TRON,ELECTRIC
2021,AUDI,E-TRON GT,ELECTRIC
2022,AUDI,E-TRON GT,ELECTRIC
2021,AUDI,Q5,DIESEL HYBRID
2022,AUDI,Q5,PLUGIN PETROL HYBRID
2008,AUDI,Q7,PLUGIN DIESEL HYBRID
2017,AUDI,Q7,PLUGIN DIESEL HYBRID
2018,AUDI,Q7,ELECTRIC
2018,AUDI,Q7,PLUGIN DIESEL HYBRID
2020,AUDI,Q7,DIESEL HYBRID
2019,AUDI,Q8,PETROL HYBRID
2020,AUDI,Q8,PETROL ELECTRIC HYBRID
2020,AUDI,Q8,PETROL HYBRID
2020,AUDI,RS6,PETROL HYBRID
2020,AUDI,SQ7,DIESEL HYBRID
2020,AUDI,SQ8,DIESEL HYBRID
2000,AUDI,TT,ELECTRIC
1957,BERKELEY,S/E328,ELECTRIC
2010,BMW,116I,PETROL HYBRID
2013,BMW,116I,PLUGIN PETROL HYBRID
2006,BMW,118I,ELECTRIC
2016,BMW,2 SERIES,PLUGIN PETROL HYBRID
2017,BMW,2 SERIES,ELECTRIC
2017,BMW,2 SERIES,PLUGIN PETROL HYBRID
2018,BMW,2 SERIES,ELECTRIC
2018,BMW,2 SERIES,PLUGIN PETROL HYBRID
2019,BMW,2 SERIES,PLUGIN PETROL HYBRID
2020,BMW,2 SERIES,PLUGIN PETROL HYBRID
2016,BMW,225XE,PLUGIN PETROL HYBRID
2017,BMW,225XE,PLUGIN PETROL HYBRID
2018,BMW,225XE,PLUGIN PETROL HYBRID
2012,BMW,3 SERIES,PETROL ELECTRIC HYBRID
2012,BMW,3 SERIES,PETROL HYBRID
2013,BMW,3 SERIES,PETROL HYBRID
2014,BMW,3 SERIES,PETROL HYBRID
2015,BMW,3 SERIES,PETROL HYBRID
2016,BMW,3 SERIES,PLUGIN PETROL HYBRID
2017,BMW,3 SERIES,ELECTRIC
2017,BMW,3 SERIES,PLUGIN PETROL HYBRID
2018,BMW,3 SERIES,ELECTRIC
2019,BMW,3 SERIES,ELECTRIC
2019,BMW,3 SERIES,PLUGIN PETROL HYBRID
2020,BMW,3 SERIES,PLUGIN PETROL HYBRID
2021,BMW,3 SERIES,PLUGIN PETROL HYBRID
2022,BMW,3 SERIES,PLUGIN PETROL HYBRID
1988,BMW,318,ELECTRIC
2007,BMW,320,PETROL HYBRID
1995,BMW,328I,ELECTRIC
2016,BMW,330,ELECTRIC
2016,BMW,330,ELECTRIC [PETROL EXTENDED]
2016,BMW,330,PETROL ELECTRIC HYBRID
2016,BMW,330,PETROL HYBRID
2016,BMW,330,PLUGIN PETROL HYBRID
2017,BMW,330,PETROL HYBRID
2017,BMW,330,PLUGIN PETROL HYBRID
2016,BMW,330E,PETROL HYBRID
2016,BMW,330E,PLUGIN PETROL HYBRID
2017,BMW,330E,PETROL HYBRID
2017,BMW,330E,PLUGIN PETROL HYBRID
2018,BMW,330E,PETROL ELECTRIC HYBRID
2018,BMW,330E,PETROL HYBRID
2018,BMW,330E,PLUGIN PETROL HYBRID
2019,BMW,330E,PLUGIN PETROL HYBRID
2020,BMW,330E,PLUGIN PETROL HYBRID
2013,BMW,330I,PETROL HYBRID
2016,BMW,330I,PETROL HYBRID
2012,BMW,335I,PETROL HYBRID
2013,BMW,335I,PETROL HYBRID
2014,BMW,335I,PETROL HYBRID
2015,BMW,335I,PETROL HYBRID
2022,BMW,4 SERIES,ELECTRIC
2012,BMW,5 SERIES,PETROL ELECTRIC HYBRID
2012,BMW,5 SERIES,PETROL HYBRID
2013,BMW,5 SERIES,PETROL HYBRID
2015,BMW,5 SERIES,PETROL HYBRID
2017,BMW,5 SERIES,PLUGIN PETROL HYBRID
2018,BMW,5 SERIES,ELECTRIC
2018,BMW,5 SERIES,PLUGIN PETROL HYBRID
2019,BMW,5 SERIES,PLUGIN PETROL HYBRID
2020,BMW,5 SERIES,PLUGIN PETROL HYBRID
2021,BMW,5 SERIES,PLUGIN PETROL HYBRID
2022,BMW,5 SERIES,PLUGIN PETROL HYBRID
2020,BMW,520D,DIESEL HYBRID
2013,BMW,523I,PETROL HYBRID
2020,BMW,530D,DIESEL HYBRID
2017,BMW,530E,PETROL ELECTRIC HYBRID
2017,BMW,530E,PLUGIN PETROL HYBRID
2018,BMW,530E,PETROL ELECTRIC HYBRID
2018,BMW,530E,PETROL HYBRID
2018,BMW,530E,PLUGIN PETROL HYBRID
2019,BMW,530E,PLUGIN PETROL HYBRID
2022,BMW,530E,PLUGIN PETROL HYBRID
2012,BMW,535,PETROL HYBRID
2012,BMW,535I,PETROL HYBRID
2013,BMW,535I,PETROL HYBRID
2014,BMW,535I,PETROL HYBRID
2015,BMW,535I,PETROL HYBRID
2012,BMW,7 SERIES,PETROL HYBRID
2014,BMW,7 SERIES,PETROL HYBRID
2016,BMW,7 SERIES,PLUGIN PETROL HYBRID
2017,BMW,7 SERIES,ELECTRIC
2017,BMW,7 SERIES,PLUGIN PETROL HYBRID
2019,BMW,7 SERIES,PLUGIN PETROL HYBRID
2020,BMW,7 SERIES,PLUGIN PETROL HYBRID
2020,BMW,730D,DIESEL HYBRID
2014,BMW,730I,PETROL HYBRID
2016,BMW,740E,PLUGIN PETROL HYBRID
2017,BMW,740E,PETROL ELECTRIC HYBRID
2017,BMW,740E,PLUGIN PETROL HYBRID
2018,BMW,740E,PETROL ELECTRIC HYBRID
2018,BMW,740E,PLUGIN PETROL HYBRID
2019,BMW,740E,PLUGIN PETROL HYBRID
2017,BMW,740LE,PETROL ELECTRIC HYBRID
2019,BMW,745LE,PLUGIN PETROL HYBRID
2012,BMW,ACTIVEHYBRID,PETROL ELECTRIC HYBRID
2012,BMW,ACTIVEHYBRID,PETROL HYBRID
2013,BMW,ACTIVEHYBRID,PETROL ELECTRIC HYBRID
2013,BMW,ACTIVEHYBRID,PETROL HYBRID
2014,BMW,ACTIVEHYBRID,PETROL HYBRID
2015,BMW,ACTIVEHYBRID,PETROL HYBRID
2016,BMW,ACTIVEHYBRID,PETROL HYBRID
2014,BMW,I,ELECTRIC [PETROL EXTENDED]
2014,BMW,I,PLUGIN PETROL HYBRID
2015,BMW,I,ELECTRIC [PETROL EXTENDED]
2015,BMW,I,PLUGIN PETROL HYBRID
2016,BMW,I,ELECTRIC
2016,BMW,I,ELECTRIC [PETROL EXTENDED]
2016,BMW,I,PLUGIN PETROL HYBRID
2017,BMW,I,ELECTRIC
2017,BMW,I,ELECTRIC [PETROL EXTENDED]
2017,BMW,I,PLUGIN PETROL HYBRID
2018,BMW,I,ELECTRIC
2018,BMW,I,ELECTRIC [PETROL EXTENDED]
2018,BMW,I,PLUGIN PETROL HYBRID
2019,BMW,I,ELECTRIC
2019,BMW,I,ELECTRIC [PETROL EXTENDED]
2019,BMW,I,PLUGIN PETROL HYBRID
2020,BMW,I,ELECTRIC
2020,BMW,I,ELECTRIC [PETROL EXTENDED]
2020,BMW,I,PLUGIN PETROL HYBRID
2021,BMW,I,ELECTRIC
2022,BMW,I,ELECTRIC
2013,BMW,I3,ELECTRIC
2014,BMW,I3,ELECTRIC
2014,BMW,I3,ELECTRIC [DIESEL EXTENDED]
2014,BMW,I3,ELECTRIC [PETROL EXTENDED]
2014,BMW,I3,PETROL ELECTRIC HYBRID
2014,BMW,I3,PETROL HYBRID
2014,BMW,I3,PLUGIN PETROL HYBRID
2015,BMW,I3,ELECTRIC
2015,BMW,I3,ELECTRIC [PETROL EXTENDED]
2015,BMW,I3,PETROL ELECTRIC HYBRID
2015,BMW,I3,PETROL HYBRID
2015,BMW,I3,PLUGIN PETROL HYBRID
2016,BMW,I3,ELECTRIC
2016,BMW,I3,ELECTRIC [PETROL EXTENDED]
2016,BMW,I3,PETROL ELECTRIC HYBRID
2016,BMW,I3,PETROL HYBRID
2016,BMW,I3,PLUGIN PETROL HYBRID
2017,BMW,I3,ELECTRIC
2017,BMW,I3,ELECTRIC [DIESEL EXTENDED]
2017,BMW,I3,ELECTRIC [PETROL EXTENDED]
2017,BMW,I3,PETROL ELECTRIC HYBRID
2017,BMW,I3,PLUGIN PETROL HYBRID
2018,BMW,I3,ELECTRIC
2018,BMW,I3,ELECTRIC [PETROL EXTENDED]
2018,BMW,I3,PETROL ELECTRIC HYBRID
2018,BMW,I3,PLUGIN PETROL HYBRID
2019,BMW,I3,ELECTRIC
2019,BMW,I3,ELECTRIC [PETROL EXTENDED]
2019,BMW,I3,PLUGIN PETROL HYBRID
2020,BMW,I3,ELECTRIC
2020,BMW,I3,ELECTRIC [PETROL EXTENDED]
2014,BMW,I8,PLUGIN PETROL HYBRID
2015,BMW,I8,PLUGIN PETROL HYBRID
2016,BMW,I8,PETROL ELECTRIC HYBRID
2016,BMW,I8,PETROL HYBRID
2016,BMW,I8,PLUGIN PETROL HYBRID
2017,BMW,I8,PLUGIN PETROL HYBRID
2018,BMW,I8,PETROL ELECTRIC HYBRID
2018,BMW,I8,PLUGIN PETROL HYBRID
2019,BMW,I8,PETROL HYBRID
2020,BMW,I8,PETROL HYBRID
2013,BMW,M3,PETROL HYBRID
2017,BMW,M5,PLUGIN PETROL HYBRID
2017,BMW,MINI,PLUGIN PETROL HYBRID
2018,BMW,MINI,PLUGIN PETROL HYBRID
2019,BMW,MINI,PLUGIN PETROL HYBRID
2020,BMW,X3,PLUGIN PETROL HYBRID
2021,BMW,X3,PLUGIN PETROL HYBRID
2022,BMW,X3,PLUGIN PETROL HYBRID
2010,BMW,X5,PETROL HYBRID
2015,BMW,X5,PETROL HYBRID
2015,BMW,X5,PLUGIN PETROL HYBRID
2016,BMW,X5,PETROL HYBRID
2016,BMW,X5,PLUGIN PETROL HYBRID
2017,BMW,X5,PLUGIN PETROL HYBRID
2018,BMW,X5,PLUGIN PETROL HYBRID
2019,BMW,X5,PLUGIN PETROL HYBRID
2020,BMW,X5,PLUGIN PETROL HYBRID
2021,BMW,X5,PLUGIN PETROL HYBRID
2022,BMW,X5,PLUGIN PETROL HYBRID
2016,BYD,E6H,ELECTRIC
2017,BYD,E6H,ELECTRIC
2014,BYD,E6Y,ELECTRIC
2015,BYD,E6Y,ELECTRIC
1956,CHEVROLET,BELAIR,ELECTRIC
2012,CHEVROLET,VOLT,PLUGIN PETROL HYBRID
2013,CHEVROLET,VOLT,PLUGIN PETROL HYBRID
2021,CITROEN,C4,ELECTRIC
2021,CITROEN,DS3,ELECTRIC
2013,CITROEN,DS5,DIESEL ELECTRIC HYBRID
2015,CITROEN,DS5,DIESEL HYBRID
1973,CITROEN,DYANE,ELECTRIC
1995,CUSTOMBUILT,HERON PC80,ELECTRIC
1989,CUSTOMBUILT,KITCAR LYNX FORTE,ELECTRIC
1994,CUSTOMBUILT,MENDOM,ELECTRIC
2012,DAIHATSU,ALTIS,PETROL HYBRID
2013,DAIHATSU,ALTIS,PETROL ELECTRIC HYBRID
2013,DAIHATSU,ALTIS,PETROL HYBRID
2014,DAIHATSU,ALTIS,PETROL HYBRID
2015,DAIHATSU,ALTIS,PETROL HYBRID
2016,DAIHATSU,ALTIS,PETROL HYBRID
2017,DAIHATSU,ALTIS,PETROL HYBRID
1988,DAIHATSU,CHARADE CS,ELECTRIC
2013,DAIHATSU,MEBIUS,PETROL HYBRID
2014,DAIHATSU,MEBIUS,PETROL HYBRID
2015,DAIHATSU,MEBIUS,PETROL HYBRID
2016,DAIHATSU,MEBIUS,PETROL HYBRID
1993,DAIHATSU,MIRA LS,ELECTRIC
2019,FACTORY BUILT,BYD E6H,ELECTRIC
2011,FACTORY BUILT,SOUZHOU EAGLE,ELECTRIC
2015,FACTORY BUILT,TUK TUK,ELECTRIC
2016,FACTORY BUILT,TUK TUK,ELECTRIC
2016,FACTORY BUILT,TUKTUK,ELECTRIC
2014,FERRARI,LAFERRARI,PETROL HYBRID
2015,FERRARI,LAFERRARI,PETROL HYBRID
2021,FERRARI,LAFERRARI,PETROL HYBRID
2021,FERRARI,SF90 STRADALE,PLUGIN PETROL HYBRID
2022,FERRARI,SF90 STRADALE,PLUGIN PETROL HYBRID
1983,FIAT,126,ELECTRIC
2021,FIAT,500,ELECTRIC
2022,FIAT,500,ELECTRIC
